,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RAIS - Divulgação: Dezembro de 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,AM,130423,Tonantins,0,0,0,#DIV/0!,5,1,-4,"-80,0%",0,0,0,#DIV/0!,13,20,7,"53,8%",756,3.513,2.757,"364,7%",774,3.534,2.760,"356,6%"
,AM,130426,Uarini,0,0,0,#DIV/0!,7,7,0,"0,0%",9,1,-8,"-88,9%",36,45,9,"25,0%",22,229,207,"940,9%",74,282,208,"281,1%"
,AM,130430,Urucará,7,6,-1,"-14,3%",19,19,0,"0,0%",12,8,-4,"-33,3%",52,43,-9,"-17,3%",911,1.012,101,"11,1%",1.001,1.088,87,"8,7%"
,AM,130440,Urucurituba,0,0,0,#DIV/0!,8,1,-7,"-87,5%",0,0,0,#DIV/0!,54,72,18,"33,3%",1.212,1.685,473,"39,0%",1.274,1.758,484,"38,0%"
,RR,140002,Amajari,125,186,61,"48,8%",1,8,7,"700,0%",25,4,-21,"-84,0%",22,24,2,"9,1%",667,573,-94,"-14,1%",840,795,-45,"-5,4%"
,RR,140005,Alto Alegre,240,247,7,"2,9%",0,4,4,#DIV/0!,11,24,13,"118,2%",79,98,19,"24,1%",819,631,-188,"-23,0%",1.149,1.004,-145,"-12,6%"
,RR,140010,Boa Vista,829,836,7,"0,8%",4.053,5.173,1.120,"27,6%",4.594,6.035,1.441,"31,4%",24.008,23.582,-426,"-1,8%",54.320,69.576,15.256,"28,1%",87.809,105.202,17.393,"19,8%"
,RR,140015,Bonfim,384,489,105,"27,3%",12,5,-7,"-58,3%",6,23,17,"283,3%",75,89,14,"18,7%",844,964,120,"14,2%",1.321,1.570,249,"18,8%"
,RR,140017,Cantá,81,145,64,"79,0%",136,161,25,"18,4%",8,15,7,"87,5%",63,97,34,"54,0%",1.160,1.600,440,"37,9%",1.448,2.018,570,"39,4%"
,RR,140020,Caracaraí,104,134,30,"28,8%",12,25,13,"108,3%",77,12,-65,"-84,4%",199,207,8,"4,0%",1.086,1.133,47,"4,3%",1.478,1.511,33,"2,2%"
,RR,140023,Caroebe,24,16,-8,"-33,3%",0,5,5,#DIV/0!,0,6,6,#DIV/0!,119,116,-3,"-2,5%",645,516,-129,"-20,0%",788,659,-129,"-16,4%"
,RR,140028,Iracema,37,80,43,"116,2%",1,1,0,"0,0%",12,3,-9,"-75,0%",27,30,3,"11,1%",825,491,-334,"-40,5%",902,605,-297,"-32,9%"
,RR,140030,Mucajaí,177,207,30,"16,9%",88,87,-1,"-1,1%",10,10,0,"0,0%",220,260,40,"18,2%",567,1.073,506,"89,2%",1.062,1.637,575,"54,1%"
,RR,140040,Normandia,41,39,-2,"-4,9%",0,0,0,#DIV/0!,18,6,-12,"-66,7%",17,13,-4,"-23,5%",828,1.770,942,"113,8%",904,1.828,924,"102,2%"
,RR,140045,Pacaraima,19,23,4,"21,1%",79,12,-67,"-84,8%",16,23,7,"43,8%",222,235,13,"5,9%",300,1.798,1.498,"499,3%",636,2.091,1.455,"228,8%"
,RR,140047,Rorainópolis,234,258,24,"10,3%",239,232,-7,"-2,9%",64,35,-29,"-45,3%",637,647,10,"1,6%",1.601,3.452,1.851,"115,6%",2.775,4.624,1.849,"66,6%"
,RR,140050,São João da Baliza,672,870,198,"29,5%",62,31,-31,"-50,0%",50,6,-44,"-88,0%",93,103,10,"10,8%",433,419,-14,"-3,2%",1.310,1.429,119,"9,1%"
,RR,140060,São Luiz,36,15,-21,"-58,3%",0,31,31,#DIV/0!,6,6,0,"0,0%",89,76,-13,"-14,6%",334,488,154,"46,1%",465,616,151,"32,5%"
,RR,140070,Uiramutã,0,0,0,#DIV/0!,0,5,5,#DIV/0!,0,0,0,#DIV/0!,25,22,-3,"-12,0%",261,266,5,"1,9%",286,293,7,"2,4%"
,PA,150010,Abaetetuba,327,391,64,"19,6%",454,467,13,"2,9%",150,236,86,"57,3%",3.956,4.334,378,"9,6%",8.917,9.573,656,"7,4%",13.804,15.001,1.197,"8,7%"
,PA,150013,Abel Figueiredo,99,106,7,"7,1%",144,110,-34,"-23,6%",16,19,3,"18,8%",99,126,27,"27,3%",343,328,-15,"-4,4%",701,689,-12,"-1,7%"
,PA,150020,Acará,1.896,1.392,-504,"-26,6%",364,474,110,"30,2%",11,39,28,"254,5%",315,337,22,"7,0%",3.524,3.190,-334,"-9,5%",6.110,5.432,-678,"-11,1%"
,PA,150030,Afuá,0,0,0,#DIV/0!,196,229,33,"16,8%",1,13,12,"1200,0%",88,67,-21,"-23,9%",1.637,1.726,89,"5,4%",1.922,2.035,113,"5,9%"
,PA,150034,Água Azul do Norte,924,906,-18,"-1,9%",1.147,1.832,685,"59,7%",22,13,-9,"-40,9%",191,171,-20,"-10,5%",699,620,-79,"-11,3%",2.983,3.542,559,"18,7%"
,PA,150040,Alenquer,25,25,0,"0,0%",83,82,-1,"-1,2%",30,141,111,"370,0%",410,458,48,"11,7%",2.493,2.529,36,"1,4%",3.041,3.235,194,"6,4%"
,PA,150050,Almeirim,860,276,-584,"-67,9%",945,905,-40,"-4,2%",118,74,-44,"-37,3%",299,313,14,"4,7%",1.733,1.928,195,"11,3%",3.955,3.496,-459,"-11,6%"
,PA,150060,Altamira,720,745,25,"3,5%",1.185,1.329,144,"12,2%",667,639,-28,"-4,2%",5.587,5.567,-20,"-0,4%",8.171,8.595,424,"5,2%",16.330,16.875,545,"3,3%"
,PA,150070,Anajás,0,0,0,#DIV/0!,34,34,0,"0,0%",1,3,2,"200,0%",96,114,18,"18,8%",1.096,1.500,404,"36,9%",1.227,1.651,424,"34,6%"
,PA,150080,Ananindeua,2.211,182,-2.029,"-91,8%",8.119,9.373,1.254,"15,4%",5.973,6.613,640,"10,7%",21.564,22.540,976,"4,5%",40.296,43.503,3.207,"8,0%",78.164,82.211,4.047,"5,2%"
,PA,150085,Anapu,118,119,1,"0,8%",63,77,14,"22,2%",725,202,-523,"-72,1%",594,651,57,"9,6%",1.072,2.095,1.023,"95,4%",2.572,3.144,572,"22,2%"
,PA,150090,Augusto Corrêa,9,6,-3,"-33,3%",28,26,-2,"-7,1%",31,29,-2,"-6,5%",169,131,-38,"-22,5%",2.810,4.352,1.542,"54,9%",3.047,4.544,1.497,"49,1%"
,PA,150095,Aurora do Pará,214,241,27,"12,6%",8,27,19,"237,5%",3,2,-1,"-33,3%",91,94,3,"3,3%",1.280,909,-371,"-29,0%",1.596,1.273,-323,"-20,2%"
,PA,150100,Aveiro,15,18,3,"20,0%",110,96,-14,"-12,7%",1,1,0,"0,0%",7,14,7,"100,0%",590,618,28,"4,7%",723,747,24,"3,3%"
,PA,150110,Bagre,2,2,0,"0,0%",0,0,0,#DIV/0!,10,0,-10,"-100,0%",60,63,3,"5,0%",786,743,-43,"-5,5%",858,808,-50,"-5,8%"
,PA,150120,Baião,88,79,-9,"-10,2%",20,0,-20,"-100,0%",9,11,2,"22,2%",149,153,4,"2,7%",1.389,1.475,86,"6,2%",1.655,1.718,63,"3,8%"
,PA,150125,Bannach,381,434,53,"13,9%",3,2,-1,"-33,3%",0,5,5,#DIV/0!,48,41,-7,"-14,6%",178,187,9,"5,1%",610,669,59,"9,7%"
,PA,150130,Barcarena,39,28,-11,"-28,2%",6.615,7.725,1.110,"16,8%",8.602,9.869,1.267,"14,7%",3.674,3.589,-85,"-2,3%",13.887,15.637,1.750,"12,6%",32.818,36.848,4.030,"12,3%"
,PA,150140,Belém,1.057,1.165,108,"10,2%",15.635,16.984,1.349,"8,6%",21.474,21.746,272,"1,3%",69.806,70.958,1.152,"1,7%",325.925,309.353,-16.572,"-5,1%",433.899,420.206,-13.693,"-3,2%"
,PA,150145,Belterra,562,566,4,"0,7%",37,36,-1,"-2,7%",5,0,-5,"-100,0%",129,138,9,"7,0%",1.058,1.287,229,"21,6%",1.791,2.027,236,"13,2%"
,PA,150150,Benevides,461,522,61,"13,2%",3.657,3.873,216,"5,9%",823,927,104,"12,6%",3.954,4.206,252,"6,4%",3.269,4.920,1.651,"50,5%",12.164,14.448,2.284,"18,8%"
,PA,150157,Bom Jesus do Tocantins,398,423,25,"6,3%",79,90,11,"13,9%",16,23,7,"43,8%",155,147,-8,"-5,2%",663,1.399,736,"111,0%",1.311,2.082,771,"58,8%"
,PA,150160,Bonito,1.772,1.464,-308,"-17,4%",131,120,-11,"-8,4%",1,0,-1,"-100,0%",24,29,5,"20,8%",405,152,-253,"-62,5%",2.333,1.765,-568,"-24,3%"
,PA,150170,Bragança,192,344,152,"79,2%",915,1.006,91,"9,9%",262,472,210,"80,2%",2.658,2.735,77,"2,9%",2.045,6.024,3.979,"194,6%",6.072,10.581,4.509,"74,3%"
,PA,150172,Brasil Novo,41,53,12,"29,3%",155,215,60,"38,7%",78,28,-50,"-64,1%",358,363,5,"1,4%",617,610,-7,"-1,1%",1.253,1.269,16,"1,3%"
,PA,150175,Brejo Grande do Araguaia,239,247,8,"3,3%",0,0,0,#DIV/0!,4,4,0,"0,0%",61,58,-3,"-4,9%",667,17,-650,"-97,5%",971,326,-645,"-66,4%"
,PA,150178,Breu Branco,218,321,103,"47,2%",621,385,-236,"-38,0%",204,257,53,"26,0%",692,800,108,"15,6%",2.069,2.097,28,"1,4%",3.804,3.860,56,"1,5%"
,PA,150180,Breves,1,1,0,"0,0%",141,268,127,"90,1%",24,39,15,"62,5%",1.278,1.286,8,"0,6%",7.389,7.364,-25,"-0,3%",8.833,8.958,125,"1,4%"
,PA,150190,Bujaru,92,80,-12,"-13,0%",24,82,58,"241,7%",11,19,8,"72,7%",159,124,-35,"-22,0%",986,1.463,477,"48,4%",1.272,1.768,496,"39,0%"
,PA,150195,Cachoeira do Piriá,15,13,-2,"-13,3%",12,12,0,"0,0%",5,13,8,"160,0%",49,52,3,"6,1%",911,283,-628,"-68,9%",992,373,-619,"-62,4%"
,PA,150200,Cachoeira do Arari,61,63,2,"3,3%",69,89,20,"29,0%",9,12,3,"33,3%",73,87,14,"19,2%",675,3.054,2.379,"352,4%",887,3.305,2.418,"272,6%"
,PA,150210,Cametá,3,4,1,"33,3%",78,69,-9,"-11,5%",79,229,150,"189,9%",1.020,1.005,-15,"-1,5%",6.701,7.251,550,"8,2%",7.884,8.558,674,"8,5%"
,PA,150215,Canaã dos Carajás,337,352,15,"4,5%",5.266,5.889,623,"11,8%",6.436,10.426,3.990,"62,0%",2.386,2.580,194,"8,1%",9.339,12.890,3.551,"38,0%",23.764,32.137,8.373,"35,2%"
,PA,150220,Capanema,128,118,-10,"-7,8%",657,709,52,"7,9%",182,377,195,"107,1%",4.528,4.457,-71,"-1,6%",4.501,4.443,-58,"-1,3%",9.996,10.104,108,"1,1%"
,PA,150230,Capitão Poço,842,981,139,"16,5%",169,219,50,"29,6%",40,68,28,"70,0%",944,1.005,61,"6,5%",1.358,6.514,5.156,"379,7%",3.353,8.787,5.434,"162,1%"
,PA,150240,Castanhal,801,994,193,"24,1%",8.719,8.612,-107,"-1,2%",1.236,1.706,470,"38,0%",11.812,11.708,-104,"-0,9%",14.602,16.172,1.570,"10,8%",37.170,39.192,2.022,"5,4%"
,PA,150250,Chaves,286,278,-8,"-2,8%",9,13,4,"44,4%",0,5,5,#DIV/0!,17,29,12,"70,6%",845,4.108,3.263,"386,2%",1.159,4.433,3.274,"282,5%"
,PA,150260,Colares,11,10,-1,"-9,1%",1,2,1,"100,0%",0,1,1,#DIV/0!,43,58,15,"34,9%",528,1.748,1.220,"231,1%",583,1.819,1.236,"212,0%"
,PA,150270,Conceição do Araguaia,428,478,50,"11,7%",358,283,-75,"-20,9%",717,827,110,"15,3%",1.330,1.355,25,"1,9%",3.670,2.858,-812,"-22,1%",6.503,5.801,-702,"-10,8%"
,PA,150275,Concórdia do Pará,1.632,1.927,295,"18,1%",147,182,35,"23,8%",65,64,-1,"-1,5%",403,384,-19,"-4,7%",187,212,25,"13,4%",2.434,2.769,335,"13,8%"
,PA,150276,Cumaru do Norte,1.491,1.479,-12,"-0,8%",25,4,-21,"-84,0%",4,11,7,"175,0%",68,49,-19,"-27,9%",496,654,158,"31,9%",2.084,2.197,113,"5,4%"
,PA,150277,Curionópolis,556,601,45,"8,1%",1.446,1.299,-147,"-10,2%",573,79,-494,"-86,2%",246,253,7,"2,8%",1.841,1.988,147,"8,0%",4.662,4.220,-442,"-9,5%"
,PA,150280,Curralinho,0,0,0,#DIV/0!,3,3,0,"0,0%",0,0,0,#DIV/0!,35,32,-3,"-8,6%",1.183,1.366,183,"15,5%",1.221,1.401,180,"14,7%"
,PA,150285,Curuá,1,0,-1,"-100,0%",0,0,0,#DIV/0!,8,0,-8,"-100,0%",28,36,8,"28,6%",1.074,1.108,34,"3,2%",1.111,1.144,33,"3,0%"
,PA,150290,Curuçá,105,105,0,"0,0%",196,169,-27,"-13,8%",4,4,0,"0,0%",263,295,32,"12,2%",1.481,2.528,1.047,"70,7%",2.049,3.101,1.052,"51,3%"
,PA,150293,Dom Eliseu,1.251,1.259,8,"0,6%",684,483,-201,"-29,4%",88,68,-20,"-22,7%",1.416,1.471,55,"3,9%",1.991,2.660,669,"33,6%",5.430,5.941,511,"9,4%"
,PA,150295,Eldorado do Carajás,132,159,27,"20,5%",297,203,-94,"-31,6%",16,21,5,"31,3%",490,671,181,"36,9%",1.401,1.738,337,"24,1%",2.336,2.792,456,"19,5%"
,PA,150300,Faro,5,6,1,"20,0%",1,3,2,"200,0%",0,0,0,#DIV/0!,28,22,-6,"-21,4%",584,366,-218,"-37,3%",618,397,-221,"-35,8%"
,PA,150304,Floresta do Araguaia,269,282,13,"4,8%",80,66,-14,"-17,5%",151,16,-135,"-89,4%",277,303,26,"9,4%",1.007,1.320,313,"31,1%",1.784,1.987,203,"11,4%"
,PA,150307,Garrafão do Norte,672,659,-13,"-1,9%",1,189,188,"18800,0%",11,29,18,"163,6%",108,115,7,"6,5%",1.654,2.019,365,"22,1%",2.446,3.011,565,"23,1%"
,PA,150309,Goianésia do Pará,430,400,-30,"-7,0%",276,334,58,"21,0%",23,50,27,"117,4%",610,601,-9,"-1,5%",1.317,1.371,54,"4,1%",2.656,2.756,100,"3,8%"
,PA,150310,Gurupá,0,0,0,#DIV/0!,4,65,61,"1525,0%",0,0,0,#DIV/0!,72,85,13,"18,1%",2.759,2.696,-63,"-2,3%",2.835,2.846,11,"0,4%"
,PA,150320,Igarapé-Açu,661,748,87,"13,2%",234,229,-5,"-2,1%",34,13,-21,"-61,8%",569,644,75,"13,2%",1.596,1.445,-151,"-9,5%",3.094,3.079,-15,"-0,5%"
,PA,150330,Igarapé-Miri,16,78,62,"387,5%",250,263,13,"5,2%",28,36,8,"28,6%",505,531,26,"5,1%",2.275,2.473,198,"8,7%",3.074,3.381,307,"10,0%"
,PA,150340,Inhangapi,115,143,28,"24,3%",281,303,22,"7,8%",4,0,-4,"-100,0%",32,17,-15,"-46,9%",600,375,-225,"-37,5%",1.032,838,-194,"-18,8%"
,PA,150345,Ipixuna do Pará,572,594,22,"3,8%",622,399,-223,"-35,9%",54,59,5,"9,3%",272,299,27,"9,9%",3.092,2.918,-174,"-5,6%",4.612,4.269,-343,"-7,4%"
,PA,150350,Irituia,143,185,42,"29,4%",182,173,-9,"-4,9%",6,13,7,"116,7%",137,125,-12,"-8,8%",80,1.607,1.527,"1908,8%",548,2.103,1.555,"283,8%"
,PA,150360,Itaituba,166,197,31,"18,7%",2.255,3.456,1.201,"53,3%",874,1.078,204,"23,3%",4.673,4.754,81,"1,7%",9.808,10.661,853,"8,7%",17.776,20.146,2.370,"13,3%"
,PA,150370,Itupiranga,416,483,67,"16,1%",75,83,8,"10,7%",118,97,-21,"-17,8%",626,591,-35,"-5,6%",1.670,2.378,708,"42,4%",2.905,3.632,727,"25,0%"
,PA,150375,Jacareacanga,32,37,5,"15,6%",62,103,41,"66,1%",11,9,-2,"-18,2%",157,157,0,"0,0%",579,660,81,"14,0%",843,966,123,"14,6%"
,PA,150380,Jacundá,173,174,1,"0,6%",564,584,20,"3,5%",80,91,11,"13,8%",1.005,1.023,18,"1,8%",2.888,1.832,-1.056,"-36,6%",4.710,3.704,-1.006,"-21,4%"
,PA,150390,Juruti,92,41,-51,"-55,4%",158,756,598,"378,5%",1.215,984,-231,"-19,0%",718,694,-24,"-3,3%",5.997,3.069,-2.928,"-48,8%",8.180,5.544,-2.636,"-32,2%"
,PA,150400,Limoeiro do Ajuru,0,0,0,#DIV/0!,1,5,4,"400,0%",81,100,19,"23,5%",30,24,-6,"-20,0%",21,1.089,1.068,"5085,7%",133,1.218,1.085,"815,8%"
,PA,150405,Mãe do Rio,286,355,69,"24,1%",125,169,44,"35,2%",23,6,-17,"-73,9%",828,833,5,"0,6%",1.329,1.356,27,"2,0%",2.591,2.719,128,"4,9%"
,PA,150410,Magalhães Barata,10,13,3,"30,0%",7,11,4,"57,1%",0,0,0,#DIV/0!,17,16,-1,"-5,9%",252,535,283,"112,3%",286,575,289,"101,0%"
,PA,150420,Marabá,1.241,1.211,-30,"-2,4%",9.425,10.102,677,"7,2%",5.519,6.717,1.198,"21,7%",15.890,15.489,-401,"-2,5%",27.454,30.819,3.365,"12,3%",59.530,64.338,4.808,"8,1%"
,PA,150430,Maracanã,122,163,41,"33,6%",4,4,0,"0,0%",9,16,7,"77,8%",56,55,-1,"-1,8%",2.740,2.647,-93,"-3,4%",2.931,2.885,-46,"-1,6%"
,PA,150440,Marapanim,40,38,-2,"-5,0%",17,23,6,"35,3%",27,25,-2,"-7,4%",184,188,4,"2,2%",1.655,2.013,358,"21,6%",1.923,2.287,364,"18,9%"
,PA,150442,Marituba,10,12,2,"20,0%",1.978,1.698,-280,"-14,2%",814,649,-165,"-20,3%",3.557,3.812,255,"7,2%",8.722,8.704,-18,"-0,2%",15.081,14.875,-206,"-1,4%"
,PA,150445,Medicilândia,113,128,15,"13,3%",76,94,18,"23,7%",48,59,11,"22,9%",447,381,-66,"-14,8%",740,1.409,669,"90,4%",1.424,2.071,647,"45,4%"
,PA,150450,Melgaço,1,1,0,"0,0%",3,3,0,"0,0%",13,6,-7,"-53,8%",54,55,1,"1,9%",949,132,-817,"-86,1%",1.020,197,-823,"-80,7%"
,PA,150460,Mocajuba,44,58,14,"31,8%",144,175,31,"21,5%",7,88,81,"1157,1%",157,180,23,"14,6%",1.724,1.040,-684,"-39,7%",2.076,1.541,-535,"-25,8%"
,PA,150470,Moju,4.316,3.860,-456,"-10,6%",1.200,1.484,284,"23,7%",128,91,-37,"-28,9%",828,846,18,"2,2%",4.715,5.009,294,"6,2%",11.187,11.290,103,"0,9%"
,PA,150475,Mojuí dos Campos,99,152,53,"53,5%",144,127,-17,"-11,8%",5,7,2,"40,0%",79,84,5,"6,3%",996,1.029,33,"3,3%",1.323,1.399,76,"5,7%"
,PA,150480,Monte Alegre,146,141,-5,"-3,4%",107,101,-6,"-5,6%",86,84,-2,"-2,3%",551,598,47,"8,5%",2.985,2.982,-3,"-0,1%",3.875,3.906,31,"0,8%"
,PA,150490,Muaná,28,36,8,"28,6%",10,12,2,"20,0%",18,22,4,"22,2%",52,52,0,"0,0%",905,1.089,184,"20,3%",1.013,1.211,198,"19,5%"
,PA,150495,Nova Esperança do Piriá,96,105,9,"9,4%",1,1,0,"0,0%",1,0,-1,"-100,0%",114,119,5,"4,4%",683,759,76,"11,1%",895,984,89,"9,9%"
,PA,150497,Nova Ipixuna,92,108,16,"17,4%",193,174,-19,"-9,8%",2,1,-1,"-50,0%",189,165,-24,"-12,7%",591,863,272,"46,0%",1.067,1.311,244,"22,9%"
,PA,150500,Nova Timboteua,134,152,18,"13,4%",3,5,2,"66,7%",2,2,0,"0,0%",107,108,1,"0,9%",978,1.052,74,"7,6%",1.224,1.319,95,"7,8%"
,PA,150503,Novo Progresso,447,504,57,"12,8%",622,682,60,"9,6%",136,223,87,"64,0%",1.605,1.586,-19,"-1,2%",2.248,3.221,973,"43,3%",5.059,6.216,1.157,"22,9%"
,PA,150506,Novo Repartimento,458,519,61,"13,3%",89,125,36,"40,4%",35,26,-9,"-25,7%",1.249,1.286,37,"3,0%",2.737,2.837,100,"3,7%",4.568,4.793,225,"4,9%"
,PA,150510,Óbidos,224,61,-163,"-72,8%",137,343,206,"150,4%",1.746,70,-1.676,"-96,0%",585,622,37,"6,3%",2.796,2.159,-637,"-22,8%",5.489,3.255,-2.234,"-40,7%"
,PA,150520,Oeiras do Pará,0,0,0,#DIV/0!,4,6,2,"50,0%",5,0,-5,"-100,0%",59,54,-5,"-8,5%",1.019,1.049,30,"2,9%",1.087,1.109,22,"2,0%"
,PA,150530,Oriximiná,103,91,-12,"-11,7%",1.831,1.999,168,"9,2%",1.504,2.849,1.345,"89,4%",978,1.070,92,"9,4%",4.766,4.471,-295,"-6,2%",9.182,10.480,1.298,"14,1%"
,PA,150540,Ourém,34,48,14,"41,2%",107,117,10,"9,3%",0,0,0,#DIV/0!,133,156,23,"17,3%",776,708,-68,"-8,8%",1.050,1.029,-21,"-2,0%"
,PA,150543,Ourilândia do Norte,184,184,0,"0,0%",1.007,1.311,304,"30,2%",95,515,420,"442,1%",653,650,-3,"-0,5%",2.018,2.221,203,"10,1%",3.957,4.881,924,"23,4%"
,PA,150548,Pacajá,316,332,16,"5,1%",10,59,49,"490,0%",164,128,-36,"-22,0%",637,674,37,"5,8%",1.535,1.728,193,"12,6%",2.662,2.921,259,"9,7%"
,PA,150549,Palestina do Pará,134,142,8,"6,0%",42,61,19,"45,2%",0,0,0,#DIV/0!,42,28,-14,"-33,3%",291,147,-144,"-49,5%",509,378,-131,"-25,7%"
,PA,150550,Paragominas,3.708,3.941,233,"6,3%",4.632,4.989,357,"7,7%",2.403,2.157,-246,"-10,2%",5.389,5.981,592,"11,0%",7.416,8.416,1.000,"13,5%",23.548,25.484,1.936,"8,2%"
,PA,150553,Parauapebas,426,254,-172,"-40,4%",13.007,15.190,2.183,"16,8%",15.898,13.436,-2.462,"-15,5%",12.581,12.788,207,"1,6%",29.044,34.096,5.052,"17,4%",70.956,75.764,4.808,"6,8%"
,PA,150555,Pau D'Arco,251,270,19,"7,6%",84,91,7,"8,3%",8,3,-5,"-62,5%",28,36,8,"28,6%",345,346,1,"0,3%",716,746,30,"4,2%"
,PA,150560,Peixe-Boi,367,74,-293,"-79,8%",3,212,209,"6966,7%",3,4,1,"33,3%",12,17,5,"41,7%",229,240,11,"4,8%",614,547,-67,"-10,9%"
,PA,150563,Piçarra,593,578,-15,"-2,5%",62,69,7,"11,3%",3,2,-1,"-33,3%",124,140,16,"12,9%",936,809,-127,"-13,6%",1.718,1.598,-120,"-7,0%"
,PA,150565,Placas,24,29,5,"20,8%",42,41,-1,"-2,4%",0,0,0,#DIV/0!,145,164,19,"13,1%",549,916,367,"66,8%",760,1.150,390,"51,3%"
,PA,150570,Ponta de Pedras,70,85,15,"21,4%",3,5,2,"66,7%",2,8,6,"300,0%",134,123,-11,"-8,2%",1.751,838,-913,"-52,1%",1.960,1.059,-901,"-46,0%"
,PA,150580,Portel,314,251,-63,"-20,1%",185,171,-14,"-7,6%",10,120,110,"1100,0%",304,377,73,"24,0%",3.172,4.976,1.804,"56,9%",3.985,5.895,1.910,"47,9%"
,PA,150590,Porto de Moz,16,19,3,"18,8%",19,7,-12,"-63,2%",18,31,13,"72,2%",113,121,8,"7,1%",1.730,1.834,104,"6,0%",1.896,2.012,116,"6,1%"
,PA,150600,Prainha,163,92,-71,"-43,6%",19,39,20,"105,3%",3,17,14,"466,7%",64,77,13,"20,3%",1.383,2.338,955,"69,1%",1.632,2.563,931,"57,0%"
,PA,150610,Primavera,11,9,-2,"-18,2%",178,188,10,"5,6%",67,23,-44,"-65,7%",65,57,-8,"-12,3%",390,1.384,994,"254,9%",711,1.661,950,"133,6%"
,PA,150611,Quatipuru,0,0,0,#DIV/0!,3,3,0,"0,0%",3,3,0,"0,0%",43,37,-6,"-14,0%",380,915,535,"140,8%",429,958,529,"123,3%"
,PA,150613,Redenção,997,1.069,72,"7,2%",1.478,1.655,177,"12,0%",1.061,985,-76,"-7,2%",4.863,4.686,-177,"-3,6%",8.056,10.439,2.383,"29,6%",16.455,18.834,2.379,"14,5%"
,PA,150616,Rio Maria,633,742,109,"17,2%",1.020,1.087,67,"6,6%",21,69,48,"228,6%",535,464,-71,"-13,3%",1.217,1.731,514,"42,2%",3.426,4.093,667,"19,5%"
,PA,150618,Rondon do Pará,851,888,37,"4,3%",667,572,-95,"-14,2%",98,42,-56,"-57,1%",1.145,1.186,41,"3,6%",1.672,1.886,214,"12,8%",4.433,4.574,141,"3,2%"
,PA,150619,Rurópolis,23,25,2,"8,7%",234,263,29,"12,4%",18,29,11,"61,1%",397,430,33,"8,3%",1.646,2.047,401,"24,4%",2.318,2.794,476,"20,5%"
,PA,150620,Salinópolis,6,3,-3,"-50,0%",62,81,19,"30,6%",518,730,212,"40,9%",1.198,1.484,286,"23,9%",2.956,3.315,359,"12,1%",4.740,5.613,873,"18,4%"
,PA,150630,Salvaterra,27,39,12,"44,4%",98,96,-2,"-2,0%",21,10,-11,"-52,4%",174,207,33,"19,0%",1.218,1.741,523,"42,9%",1.538,2.093,555,"36,1%"
,PA,150635,Santa Bárbara do Pará,171,186,15,"8,8%",489,498,9,"1,8%",22,28,6,"27,3%",204,265,61,"29,9%",1.486,1.503,17,"1,1%",2.372,2.480,108,"4,6%"
,PA,150640,Santa Cruz do Arari,25,26,1,"4,0%",9,9,0,"0,0%",0,0,0,#DIV/0!,15,17,2,"13,3%",395,1.214,819,"207,3%",444,1.266,822,"185,1%"
,PA,150650,Santa Izabel do Pará,3.851,3.438,-413,"-10,7%",1.396,2.005,609,"43,6%",227,198,-29,"-12,8%",3.091,2.832,-259,"-8,4%",2.224,2.923,699,"31,4%",10.789,11.396,607,"5,6%"
,PA,150655,Santa Luzia do Pará,88,133,45,"51,1%",48,14,-34,"-70,8%",2,3,1,"50,0%",99,84,-15,"-15,2%",879,1.524,645,"73,4%",1.116,1.758,642,"57,5%"
,PA,150658,Santa Maria das Barreiras,1.586,1.699,113,"7,1%",16,15,-1,"-6,3%",0,2,2,#DIV/0!,200,177,-23,"-11,5%",611,1.963,1.352,"221,3%",2.413,3.856,1.443,"59,8%"
,PA,150660,Santa Maria do Pará,93,74,-19,"-20,4%",365,308,-57,"-15,6%",14,36,22,"157,1%",604,534,-70,"-11,6%",1.145,1.372,227,"19,8%",2.221,2.324,103,"4,6%"
,PA,150670,Santana do Araguaia,1.774,1.900,126,"7,1%",696,1.002,306,"44,0%",92,85,-7,"-7,6%",1.026,1.069,43,"4,2%",2.737,1.238,-1.499,"-54,8%",6.325,5.294,-1.031,"-16,3%"
,PA,150680,Santarém,949,877,-72,"-7,6%",3.237,3.928,691,"21,3%",1.859,1.545,-314,"-16,9%",14.434,14.395,-39,"-0,3%",28.249,42.165,13.916,"49,3%",48.729,62.910,14.181,"29,1%"
,PA,150690,Santarém Novo,9,12,3,"33,3%",0,0,0,#DIV/0!,2,2,0,"0,0%",13,17,4,"30,8%",571,653,82,"14,4%",595,684,89,"15,0%"
,PA,150700,Santo Antônio do Tauá,732,719,-13,"-1,8%",547,664,117,"21,4%",30,39,9,"30,0%",278,293,15,"5,4%",1.327,187,-1.140,"-85,9%",2.914,1.902,-1.012,"-34,7%"
,PA,150710,São Caetano de Odivelas,86,93,7,"8,1%",9,26,17,"188,9%",47,49,2,"4,3%",146,147,1,"0,7%",1.046,1.075,29,"2,8%",1.334,1.390,56,"4,2%"
